id;contrato_adhesions_id;sci_servicios_id;created_at;updated_at;servicio
73;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Servicio de Datos
74;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Telefonía Troncalizada con protocolo SIP
75;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Servicio de Larga distancia Internacional
76;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Administración del Servicio
77;27;18;2016-02-12 15:02:53.487;2016-02-12 15:02:53.487;TIPO DE INSTALACION, DUCTO(TUBOS). AEREO
78;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;PAQUETE CABLEVISION BASICO
79;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;PAQUETE CABLEVSION DIGITAL 
80;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;ALQUILER DE CAJA DECO DIGITAL
81;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;INTERNET
82;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;ALQUILER DE CABLE MODEM
83;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;PUNTOS ADICIONALES
84;27;18;2016-02-12 15:02:53.517;2016-02-12 15:02:53.517;CABLEADO ADICIONAL(PARA DISTANCIAS MAYORES A 80 METROS HASTA 120 METROS DESDE LA TOMA PRINCIAL HASTA EL TELEVISOR DEL CLIENTE).
85;28;1;2016-02-12 15:06:31.987;2016-02-12 15:06:31.987;Residencial o Comercial
86;29;18;2016-02-12 15:37:54.107;2016-02-12 15:37:54.107;Servicio de Internet
87;29;7;2016-02-12 15:37:54.120;2016-02-12 15:37:54.120;
88;29;18;2016-02-12 15:37:54.120;2016-02-12 15:37:54.120;Servicio de Data Center
89;30;18;2016-02-12 15:49:12.557;2016-02-12 15:49:12.557;Internet Empresarial Corporativo
90;30;18;2016-02-12 15:49:12.557;2016-02-12 15:49:12.557;Internet Empresarial Pymes
91;30;18;2016-02-12 15:49:12.557;2016-02-12 15:49:12.557;Wimax
92;30;18;2016-02-12 15:49:12.557;2016-02-12 15:49:12.557;Internet VSAT
93;30;18;2016-02-12 15:49:12.570;2016-02-12 15:49:12.570;Redes privadas de Datos VPN
94;30;18;2016-02-12 15:49:12.570;2016-02-12 15:49:12.570;Trasporte Internacional IPL
95;31;18;2016-02-12 16:02:24.403;2016-02-12 16:02:24.403;TELEFONIA VOZ FIJA-RDSI PRI
96;31;18;2016-02-12 16:02:24.403;2016-02-12 16:02:24.403;TELEFONIA VOZ FIJA-RDSI MDE
97;31;18;2016-02-12 16:02:24.403;2016-02-12 16:02:24.403;CONECTIVIDAD FIJA-INTERNET EMPRESARIAL
98;31;18;2016-02-12 16:02:24.403;2016-02-12 16:02:24.403;CONECTIVIDAD-RED PRIVADA VIRTUAL NACIONAL
99;31;18;2016-02-12 16:02:24.403;2016-02-12 16:02:24.403;CONECTIVIDAD FIJA-RED PRIVADA VIRTUAL GLOBAL
100;31;18;2016-02-12 16:02:24.403;2016-02-12 16:02:24.403;LINEAS DEDICADAS
101;31;18;2016-02-12 16:02:24.417;2016-02-12 16:02:24.417;LINEAS DIRECTAS ANALOGICAS
102;31;18;2016-02-12 16:02:24.417;2016-02-12 16:02:24.417;LINEAS DIRECTAS DIGITALES
104;33;18;2016-02-12 16:33:14.543;2016-02-12 16:33:14.543;Servicio de Internet
105;34;7;2016-02-12 16:37:37.917;2016-02-12 16:37:37.917;
106;34;18;2016-02-12 16:37:37.933;2016-02-12 16:37:37.933;ACCESO A INTERNET
107;35;18;2016-02-12 16:50:46.943;2016-02-12 16:50:46.943;SERVICIO BÁSICO TV CABLE
108;35;18;2016-02-12 16:50:46.943;2016-02-12 16:50:46.943;SERVICIO TV DIGITAL POR CABLE
109;35;18;2016-02-12 16:50:46.943;2016-02-12 16:50:46.943;TV ADICIONAL
110;35;18;2016-02-12 16:50:46.957;2016-02-12 16:50:46.957;ALQUILER DE CONVERTIDOR DIGITAL
111;35;18;2016-02-12 16:50:46.957;2016-02-12 16:50:46.957;SERVICIO DE ACCESO A INTERNET
112;35;7;2016-02-12 16:50:46.957;2016-02-12 16:50:46.957;
113;35;18;2016-02-12 16:50:46.957;2016-02-12 16:50:46.957;SERVICIO DTH
114;35;18;2016-02-12 16:50:46.957;2016-02-12 16:50:46.957;ALQUILER DE MÓDEM/ MTA/
115;36;18;2016-02-12 17:05:45.477;2016-02-12 17:05:45.477;NO INDICA SERVICIOS.
116;37;18;2016-02-12 17:13:11.417;2016-02-12 17:13:11.417;Servicio VPN
118;39;2;2016-02-12 17:57:31.163;2016-02-12 17:57:31.163;Servicio postpago
120;41;18;2016-02-17 16:52:08.370;2016-02-17 16:52:08.370;Prestación del servicio de acceso a internet de Banda Ancha
121;42;18;2016-02-17 16:53:30.277;2016-02-17 16:53:30.277;Acceso a Internet de banda ancha  a través de fibra óptica
122;43;18;2016-03-31 21:32:55.250;2016-03-31 21:32:55.250;Internet, Virtual Private  Network, Televisión Analógica, Televisión Digital, Telefonía IP por E-MTA, Telefonía IP con protocolo SIP
123;44;3;2016-04-18 20:47:08.047;2016-04-18 20:47:08.047;Servicio de Internet
124;45;18;2016-06-22 16:20:38.780;2016-06-22 16:20:38.780;Servicio de Internet y Telefonía IP
