id;tipo_red;fecha_publicacion;numero_publicacion;contrato_concesion;fecha_emision;numero_notificacion_refrendo;created_at;updated_at;fecha_notificacion_refrendo;fecha_vencimiento
4;publica;2011-01-21;15;Contrato N° C-002-2011-MINAET ;2011-05-13;05519;2016-01-26 14:39:55.757;2016-01-26 14:39:55.757;2011-06-22;2026-07-14
5;publica;2011-01-21;15;Contrato N° C-001-2011-MINAET;2011-05-12;05519;2016-02-19 20:03:48.427;2016-02-19 20:03:48.427;2011-06-22;2026-03-01
