id;modalidad_permiso;created_at;updated_at
3301;radioaficionado;2016-01-15 17:14:43.997;2016-01-15 17:14:43.997
3302;otros;2016-01-15 18:04:40.070;2016-01-15 18:04:40.070
3305;radiocomunicacion_banda_angosta;2016-01-18 14:45:50.147;2016-01-18 14:45:50.147
3307;radiocomunicacion_banda_angosta;2016-01-18 14:51:16.243;2016-01-18 14:51:16.243
3308;otros;2016-01-19 21:25:59.630;2016-01-19 21:25:59.630
3309;otros;2016-01-20 16:55:02.987;2016-01-20 16:55:02.987
3310;otros;2016-01-20 17:22:06.800;2016-01-20 17:22:06.800
3311;radiocomunicacion_banda_aeronautica;2016-01-20 17:37:32.583;2016-01-20 17:37:32.583
3312;otros;2016-01-20 18:16:01.887;2016-01-20 18:16:01.887
3313;radiocomunicacion_banda_aeronautica;2016-01-20 19:26:59.143;2016-01-20 19:26:59.143
3314;radiocomunicacion_banda_aeronautica;2016-01-20 19:43:46.613;2016-01-20 19:43:46.613
3315;radiocomunicacion_banda_aeronautica;2016-01-20 20:07:13.633;2016-01-20 20:07:13.633
3317;radiocomunicacion_banda_angosta;2016-01-20 20:19:58.087;2016-01-20 20:19:58.087
3318;otros;2016-01-20 20:32:56.650;2016-01-20 20:32:56.650
3319;radiocomunicacion_banda_aeronautica;2016-01-20 20:55:48.090;2016-01-20 20:55:48.090
3321;radiocomunicacion_banda_angosta;2016-01-21 13:48:51.930;2016-01-21 13:48:51.930
3323;radiocomunicacion_banda_aeronautica;2016-01-21 14:00:08.917;2016-01-21 14:00:08.917
3330;radioaficionado;2016-01-21 14:38:20.043;2016-01-21 14:38:20.043
3332;radioaficionado;2016-01-21 14:46:34.420;2016-01-21 14:46:34.420
3333;radiocomunicacion_banda_angosta;2016-01-21 15:22:25.190;2016-01-21 15:22:25.190
3338;radiocomunicacion_banda_aeronautica;2016-01-21 15:32:16.737;2016-01-21 15:32:16.737
3343;otros;2016-01-21 15:42:51.380;2016-01-21 15:42:51.380
3349;radioaficionado;2016-01-21 15:48:51.990;2016-01-21 15:48:51.990
3352;radiocomunicacion_banda_angosta;2016-01-21 15:52:52.913;2016-01-21 15:52:52.913
3356;otros;2016-01-21 16:02:21.430;2016-01-21 16:02:21.430
3357;radiocomunicacion_banda_angosta;2016-01-21 16:15:37.570;2016-01-21 16:15:37.570
3358;radiocomunicacion_banda_angosta;2016-01-21 16:26:37.447;2016-01-21 16:26:37.447
3359;radiocomunicacion_banda_angosta;2016-01-21 16:41:48.607;2016-01-21 16:41:48.607
3361;radiocomunicacion_banda_angosta;2016-01-21 16:43:46.043;2016-01-21 16:43:46.043
3365;radiocomunicacion_banda_angosta;2016-01-21 16:55:33.387;2016-01-21 16:55:33.387
3368;radiocomunicacion_banda_angosta;2016-01-21 17:23:33.547;2016-01-21 17:23:33.547
3372;otros;2016-01-21 17:48:41.583;2016-01-21 17:48:41.583
3373;radioaficionado;2016-01-21 18:14:34.023;2016-01-21 18:14:34.023
3378;radiocomunicacion_banda_angosta;2016-01-21 20:01:33.863;2016-01-21 20:01:33.863
3380;radiocomunicacion_banda_angosta;2016-01-21 20:25:23.990;2016-01-21 20:25:23.990
3382;radiocomunicacion_banda_aeronautica;2016-01-21 20:51:21.087;2016-01-21 20:51:21.087
3384;radiocomunicacion_banda_aeronautica;2016-01-21 21:07:56.717;2016-01-21 21:07:56.717
3385;radiocomunicacion_banda_aeronautica;2016-01-21 21:21:48.170;2016-01-21 21:21:48.170
3388;otros;2016-01-21 21:39:44.017;2016-01-21 21:39:44.017
3389;radioaficionado;2016-01-21 21:45:27.313;2016-01-21 21:45:27.313
3390;radioaficionado;2016-01-21 21:46:55.187;2016-01-21 21:46:55.187
3391;radiocomunicacion_banda_angosta;2016-01-22 14:14:31.803;2016-01-22 14:14:31.803
3393;radiocomunicacion_banda_marina;2016-01-22 14:25:30.087;2016-01-22 14:25:30.087
3394;otros;2016-01-22 14:28:58.150;2016-01-22 14:28:58.150
3395;radiocomunicacion_banda_angosta;2016-01-22 14:40:27.837;2016-01-22 14:40:27.837
3396;otros;2016-01-22 14:47:54.027;2016-01-22 14:47:54.027
3397;otros;2016-01-22 15:13:49.077;2016-01-22 15:13:49.077
3398;radiocomunicacion_banda_angosta;2016-01-22 15:42:06.533;2016-01-22 15:42:06.533
3399;radioaficionado;2016-01-22 16:32:05.460;2016-01-22 16:32:05.460
3400;radioaficionado;2016-01-22 16:35:49.383;2016-01-22 16:35:49.383
3403;radiocomunicacion_banda_angosta;2016-01-22 19:36:52.540;2016-01-22 19:36:52.540
3411;otros;2016-01-25 14:40:29.790;2016-01-25 14:40:29.790
3413;otros;2016-01-25 16:55:27.337;2016-01-25 16:55:27.337
3414;otros;2016-01-25 17:47:51.017;2016-01-25 17:47:51.017
3415;otros;2016-01-25 18:09:48.877;2016-01-25 18:09:48.877
3416;radioaficionado;2016-01-25 20:21:40.110;2016-01-25 20:21:40.110
3417;radioaficionado;2016-01-25 21:12:40.727;2016-01-25 21:12:40.727
3418;radioaficionado;2016-01-25 21:19:17.260;2016-01-25 21:19:17.260
3419;radioaficionado;2016-01-26 14:55:01.757;2016-01-26 14:55:01.757
3420;radioaficionado;2016-01-26 15:00:47.273;2016-01-26 15:00:47.273
3421;radioaficionado;2016-01-26 15:04:47.773;2016-01-26 15:04:47.773
3422;radioaficionado;2016-01-26 17:22:06.370;2016-01-26 17:22:06.370
3423;radioaficionado;2016-01-26 17:31:43.497;2016-01-26 17:31:43.497
3424;otros;2016-01-26 18:02:35.483;2016-01-26 18:02:35.483
3425;radioaficionado;2016-01-29 15:48:25.653;2016-01-29 15:48:25.653
3426;radioaficionado;2016-01-29 16:57:03.193;2016-01-29 16:57:03.193
3427;otros;2016-02-01 20:42:56.023;2016-02-01 20:42:56.023
3428;otros;2016-02-01 21:16:06.153;2016-02-01 21:16:06.153
3429;otros;2016-02-01 21:34:57.653;2016-02-01 21:34:57.653
3430;otros;2016-02-02 16:44:05.803;2016-02-02 16:44:05.803
3431;otros;2016-02-02 17:07:18.837;2016-02-02 17:07:18.837
3432;otros;2016-02-02 17:31:23.590;2016-02-02 17:31:23.590
3433;otros;2016-02-02 17:52:22.203;2016-02-02 17:52:22.203
3434;otros;2016-02-02 18:05:28.000;2016-02-02 18:05:28.000
3435;otros;2016-02-02 21:50:04.513;2016-02-02 21:50:04.513
3437;otros;2016-02-03 15:47:54.763;2016-02-03 15:47:54.763
3438;otros;2016-02-03 16:24:35.720;2016-02-03 16:24:35.720
3439;radioaficionado;2016-02-03 16:31:21.723;2016-02-03 16:31:21.723
3440;radioaficionado;2016-02-03 16:48:10.177;2016-02-03 16:48:10.177
3441;radioaficionado;2016-02-03 17:09:14.803;2016-02-03 17:09:14.803
3442;radioaficionado;2016-02-03 17:16:47.757;2016-02-03 17:16:47.757
3443;radioaficionado;2016-02-03 17:21:25.760;2016-02-03 17:21:25.760
3444;radioaficionado;2016-02-03 17:32:26.650;2016-02-03 17:32:26.650
3445;otros;2016-02-03 20:54:22.563;2016-02-03 20:54:22.563
3447;otros;2016-02-03 21:51:34.227;2016-02-03 21:51:34.227
3448;radioaficionado;2016-02-03 22:07:28.087;2016-02-03 22:07:28.087
3449;radioaficionado;2016-02-04 16:07:15.150;2016-02-04 16:07:15.150
3450;otros;2016-02-04 18:10:33.807;2016-02-04 18:10:33.807
3453;radioaficionado;2016-02-08 21:12:38.413;2016-02-08 21:12:38.413
3454;radioaficionado;2016-02-09 17:17:39.730;2016-02-09 17:17:39.730
3455;radioaficionado;2016-02-09 18:12:01.257;2016-02-09 18:12:01.257
3456;otros;2016-02-09 20:32:13.217;2016-02-09 20:32:13.217
3459;otros;2016-02-09 22:00:57.867;2016-02-09 22:00:57.867
3460;otros;2016-02-10 15:26:54.140;2016-02-10 15:26:54.140
3462;otros;2016-02-12 14:57:54.563;2016-02-12 14:57:54.563
3463;otros;2016-02-12 15:08:38.080;2016-02-12 15:08:38.080
3464;otros;2016-02-12 15:32:02.697;2016-02-12 15:32:02.697
3465;otros;2016-02-12 15:52:50.290;2016-02-12 15:52:50.290
3468;radioaficionado;2016-02-12 17:40:44.143;2016-02-12 17:40:44.143
3469;otros;2016-02-12 18:20:50.510;2016-02-12 18:20:50.510
3474;radioaficionado;2016-02-12 19:59:36.467;2016-02-12 19:59:36.467
3475;radioaficionado;2016-02-12 19:59:53.200;2016-02-12 19:59:53.200
3476;radioaficionado;2016-02-12 20:01:27.950;2016-02-12 20:01:27.950
