id;precio_interconexion;created_at;updated_at;acuerdo_acceso_interconexions_id;sci_servicios_id;servicio
201;6.00;2016-02-10 21:18:03.067;2016-02-10 21:18:03.067;40;18;Precios de Terminación de Tráfico Telefónico de larga distancia internacional. Precio por minuto en colones: Uso de red fija para tránsito internacional
202;502.00;2016-02-10 21:18:03.067;2016-02-10 21:18:03.067;40;18;Precios por los servicios asociados al POI eléctrico con la Central de Comunicación de San Pedro en la Configuración de enlaces E1´s es US Dólares: Patch Cord desde PRD hasta el DDf en el MMR del cuarto de coubicación Cuota de instalación
203;42.00;2016-02-10 21:18:03.067;2016-02-10 21:18:03.067;40;18;Precios por los servicios asociados al POI eléctrico con la Central de Comunicación de San Pedro en la Configuración de enlaces E1´s es US Dólares: Patch Cord desde PRD hasta el DDf en el MMR del cuarto de coubicación Cargo recurrente mensual por E1
204;5400.00;2016-02-10 21:18:03.067;2016-02-10 21:18:03.067;40;18;Precios por los servicios asociados al POI eléctrico con la Central de Comunicación de San Pedro en la Configuración de enlaces E1´s es US Dólares: Configuración del puerto de Conmutación por POI Cuota de instalación
205;0.00;2016-02-10 21:18:03.083;2016-02-10 21:18:03.083;40;18;Precios por los servicios asociados al POI eléctrico con la Central de Comunicación de San Pedro en la Configuración de enlaces E1´s es US Dólares: Configuración del puerto de Conmutación por POI: Cargo recurrente mensual por E1: Habilitación del Bastidor
206;5350.00;2016-02-10 21:18:03.083;2016-02-10 21:18:03.083;40;18;Precios por el servicio de coubicación en la Estación de Telecomunicaciones de San Pedro de Montes de Oca en UD dólares:  Habilitación del Bastidor Cuota de instalación
207;1880.00;2016-02-10 21:18:03.083;2016-02-10 21:18:03.083;40;18;Precios por el servicio de coubicación en la Estación de Telecomunicaciones de San Pedro de Montes de Oca en UD dólares:  Habilitación del Bastidor Cargo recurrente mensual
208;0.00;2016-02-10 21:18:03.083;2016-02-10 21:18:03.083;40;18;Circuito electric 30 AMP-48 VDC Cuota de instalación
209;670.00;2016-02-10 21:18:03.083;2016-02-10 21:18:03.083;40;18;Circuito electric 30 AMP-48 VDC Cargo recurrente mensual
210;0.00;2016-02-10 21:18:03.083;2016-02-10 21:18:03.083;40;18;Circuito eléctrico 30 AMP 120 VAC Cuota de instalación
