id;numero_publicacion_gaceta;fecha_publicacion_gaceta;tipo_red;created_at;updated_at;fecha_vencimiento
395;180;2009-09-16;publica;2015-11-27 20:25:00.197;2015-11-27 20:25:00.197;2019-09-16
396;000;0001-01-01;publica;2015-11-27 20:31:43.980;2015-11-27 20:31:43.980;0001-01-01
397;207;2009-10-26;publica;2015-11-27 20:40:30.090;2015-11-27 20:40:30.090;2019-10-26
398;207;2009-10-26;publica;2015-11-27 20:49:48.623;2015-11-27 20:49:48.623;2019-10-26
399;74;2009-04-19;publica;2015-12-01 17:03:45.397;2015-12-01 17:03:45.397;2019-04-19
400;201;2009-10-16;publica;2015-12-01 19:05:46.113;2015-12-01 19:05:46.113;2019-10-16
401;168;2015-08-28;publica;2015-12-01 21:20:16.410;2015-12-01 21:20:16.410;2025-08-28
402;201;2009-10-16;privada;2015-12-10 16:04:02.473;2015-12-10 16:04:02.473;2019-10-16
403;176;2009-09-09;privada;2015-12-22 21:21:33.653;2015-12-22 21:21:33.653;2019-09-23
406;180;2009-09-16;privada;2015-12-22 21:28:31.450;2015-12-22 21:28:31.450;2019-09-03
410;176;2009-09-09;privada;2015-12-22 21:31:57.297;2015-12-22 21:31:57.297;2019-08-31
411;180;2009-09-16;privada;2015-12-22 21:32:22.407;2015-12-22 21:32:22.407;2019-09-03
412;201;2009-10-16;privada;2015-12-22 21:33:35.017;2015-12-22 21:33:35.017;2019-09-22
413;207;2009-10-26;privada;2015-12-22 21:34:21.017;2015-12-22 21:34:21.017;2019-10-02
415;207;2009-10-26;privada;2015-12-22 21:37:53.327;2015-12-22 21:37:53.327;2020-02-24
416;207;2009-10-26;privada;2015-12-22 21:38:15.547;2015-12-22 21:38:15.547;2019-10-01
417;144;2009-07-27;privada;2015-12-22 21:45:07.843;2015-12-22 21:45:07.843;2019-07-29
419;236;2009-12-04;privada;2015-12-22 21:46:10.657;2015-12-22 21:46:10.657;2019-11-23
429;142;2014-07-24;publica;2015-12-23 15:19:44.880;2015-12-23 15:19:44.880;2024-07-17
431;8;2013-01-11;publica;2015-12-23 16:26:24.810;2015-12-23 16:26:24.810;2023-04-05
435;201;2009-10-16;privada;2015-12-23 16:28:10.153;2015-12-23 16:28:10.153;2019-09-22
