id;rango_numeracion;numero_asignado;tipo_recurso_numerico;nota;created_at;updated_at
1112;NULL;NULL;NULL;NULL;2016-01-28 17:41:29.997;2016-01-28 17:41:29.997
1113;NULL;NULL;NULL;NULL;2016-01-28 17:44:56.547;2016-01-28 17:44:56.547
1115;NULL;NULL;NULL;NULL;2016-01-28 17:54:52.327;2016-01-28 17:54:52.327
1116;NULL;NULL;NULL;NULL;2016-01-28 17:57:43.467;2016-01-28 17:57:43.467
1117;NULL;NULL;NULL;NULL;2016-01-28 18:03:46.453;2016-01-28 18:03:46.453
1118;NULL;NULL;NULL;NULL;2016-01-28 18:06:27.390;2016-01-28 18:06:27.390
1119;NULL;NULL;NULL;NULL;2016-01-28 19:32:01.887;2016-01-28 19:32:01.887
1120;NULL;NULL;NULL;NULL;2016-01-28 19:35:04.307;2016-01-28 19:35:04.307
1121;NULL;NULL;NULL;NULL;2016-01-28 19:37:18.573;2016-01-28 19:37:18.573
1122;NULL;NULL;NULL;NULL;2016-01-28 19:43:00.167;2016-01-28 19:43:00.167
1123;NULL;NULL;NULL;NULL;2016-01-28 19:48:31.263;2016-01-28 19:48:31.263
1126;NULL;NULL;NULL;NULL;2016-01-28 20:02:44.780;2016-01-28 20:02:44.780
1127;NULL;NULL;NULL;NULL;2016-01-28 20:05:58.513;2016-01-28 20:05:58.513
1128;NULL;NULL;NULL;NULL;2016-01-28 20:10:03.577;2016-01-28 20:10:03.577
1129;NULL;NULL;NULL;NULL;2016-01-28 20:19:47.423;2016-01-28 20:19:47.423
1130;NULL;NULL;NULL;NULL;2016-01-28 20:39:25.393;2016-01-28 20:39:25.393
1131;NULL;NULL;NULL;NULL;2016-01-28 20:42:56.143;2016-01-28 20:42:56.143
1132;NULL;NULL;NULL;NULL;2016-01-28 20:49:32.800;2016-01-28 20:49:32.800
1134;NULL;NULL;NULL;NULL;2016-01-28 20:55:54.693;2016-01-28 20:55:54.693
1135;NULL;NULL;NULL;NULL;2016-01-28 20:56:24.223;2016-01-28 20:56:24.223
1136;NULL;NULL;NULL;NULL;2016-01-28 21:01:47.677;2016-01-28 21:01:47.677
1137;NULL;NULL;NULL;NULL;2016-01-28 21:13:28.070;2016-01-28 21:13:28.070
1138;NULL;NULL;NULL;NULL;2016-01-28 21:26:24.853;2016-01-28 21:26:24.853
1139;NULL;NULL;NULL;NULL;2016-01-28 21:37:23.777;2016-01-28 21:37:23.777
1140;NULL;NULL;NULL;NULL;2016-01-28 21:39:14.713;2016-01-28 21:39:14.713
1141;NULL;NULL;NULL;NULL;2016-01-28 21:42:53.510;2016-01-28 21:42:53.510
1142;NULL;NULL;NULL;NULL;2016-01-29 14:13:03.250;2016-01-29 14:13:03.250
1143;NULL;NULL;NULL;NULL;2016-01-29 14:17:41.190;2016-01-29 14:17:41.190
1144;NULL;NULL;NULL;NULL;2016-01-29 14:20:04.440;2016-01-29 14:20:04.440
1145;NULL;NULL;NULL;NULL;2016-01-29 14:26:26.770;2016-01-29 14:26:26.770
1150;NULL;NULL;NULL;NULL;2016-01-29 14:38:06.660;2016-01-29 14:38:06.660
1151;NULL;NULL;NULL;NULL;2016-01-29 14:42:33.427;2016-01-29 14:42:33.427
1152;NULL;NULL;NULL;NULL;2016-01-29 14:44:42.397;2016-01-29 14:44:42.397
